Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Heading,Keel Stiffening Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Spec Item,"Structural Core, X-LINK PVC, 5#, 1""",,,Gord,Updated,New,Down,101317-02,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,X-Link PVC,"1"""
TRUE,,Spec Item,"Structural Core, Polyfoam (6"" THICK)",,,Gord,Updated,New,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"6"""
TRUE,,Spec Item,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip)",,,Gord,Updated,New,Down,100937-01,,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"2-1/2"""
,,Spec Heading,Keel Laminate Schedule 5,,,,,,,KEEL LAM SCH 5,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Matt, E-Glass, 3/4 OZ. (2X)",,,Gord,Updated,New,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (2X)",,,Gord,Updated,New,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Gord,Updated,New,Down,101426-01,,Laminate,N/A,SF,,,,Guess,,,,,,,,,,,,,,,,,,
,,Spec Heading,Keel Laminate Schedule 6,,,,,,,KEEL LAM SCH 6,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X)",,,Gord,Updated,New,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Gord,Updated,New,Down,100909-01,,Laminate,N/A,SF,,,,Guess,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Gord,Updated,New,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Heading,Stiffener 1 Port,,,,,,,STFNR 1 PORT,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Stiffener 1 Port Core,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Structural Core, Polyfoam (6"" Thick)",,,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"6"""
,,Spec Item,"Structural Core, Polyfoam (4"" Thick, Aft Vertical Stiffener)",,,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"4"""
,,Spec Item,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip, Engineroom Only)",,,Gord,Updated,WP-3800,Down,100937-01,Engineroom,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"2-1/2"""
,,Spec Item,"Structural Core, X-Link PVC, 5#, 1"" (Engineroom Only)",,,Gord,Updated,WP-3800,Down,101317-02,Engineroom,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,X-Link PVC,"1"""
,,Spec Item,"Structural Core, Polyuerethane, 20#, 2"" (4"" Thick Cap, Engineroom Only)",,,Gord,Updated,WP-3800,Down,100918-04,Engineroom,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyurethane,"2"""
,,Spec Heading,Laminate Schedule 8,,,,,,,STFNR 1P LAM SCH 8,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (6X, Top with Cap)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Unidirectional Fabric, E-Glass, E-LR 1708 (20X, Cap)",,,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Heading,Laminate Schedule 7,,,,,,,STFNR 1P LAM SCH 7,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
