Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Drawings / Deliverables,Davits & Cranes As Built Drawings if Required,,,,,New,,,,,,,,,,,,,,,,,,,,,4383-213-03,,,,,,,
,,Weight Estimate,Davits & Cranes Weight Estimate,,,,,New,,,,,,,,,,,,,,,,,,,,,4383-213-04,,,,,,,
,214,Heading,Reserved,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,300,Heading,Machinery,TRUE,,,Updated,,Down,,,,,,,,,SubItems,,,25833.9,10.02%,92.02,0.08,5.99,2377213,2066,154815,,,,,,,,
,301,Heading,Machinery Arrangement General,TRUE,,,,,Down,,,,,,,,,SubItems,,,822.5,3.18%,93.49,0.05,7.11,76893,44,5847,,,,,,,,
,,Spec Heading,Engineroom Rough In (From 3800 Weight Estimate),TRUE,,,,,,,,,,,,,,SubItems,,,822.5,100.00%,93.49,0.05,7.11,76893,44,5847,,,,,,,,
,,Spec Item,Floor Rail Grid,TRUE,,Brian,Updated,WP 3800,Down,,Engineroom,TBD,N/A,Set,,,,Guess,480,1,480.0,58.36%,90.94,-0.04,5.65,43651,-19,2712,,,No,,,,,
,,Spec Item,"Assembly, Soft Patch",TRUE,,Matt,Updated,WP 3800,Sideways,104072-01,Engineroom,TBD,N/A,Set,Nautical Structures,,,Guess,321,1,321.0,39.03%,97.27,0.00,9.22,31224,0,2959,,,No,,,,,
,,Spec Heading,"I-Beams, Engineroom, Rough-In",TRUE,,,,,Sideways,,,Laminate,,,,,,SubItems,,,4.5,0.55%,80.94,-6.80,3.37,364,-31,15,,,,,,,,
,,Spec Item,"Bilge Piping Support- I Beam, FG Series 1525 3 X 1/4""",TRUE,,,Updated,,Sideways,,Engineroom,Foundations,N/A,Each,,,,Manufacturer,3,1.5,4.5,100.00%,80.94,-6.80,3.37,364,-31,15,,,,,,,,
,,Spec Heading,Backing Plate Sub-Assemb;y,TRUE,,,,,,,,,,,,,,SubItems,,,17.0,2.07%,97.28,5.50,9.50,1654,94,162,,,,,,,,
,,Spec Item,Miscellaneous Backing Plates,TRUE,,,Updated,New,Sideways,NA,Engineroom,TBD,N/A,Set,,,,Solidworks,17,1,17.0,100.00%,97.28,5.50,9.50,1654,94,162,,,,,,,,
,,Design Heading,Machinery General Arrangement Design Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Machinery Arrangement General 3D Modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-301-00,,,,,,,
,,Drawings / Deliverables,Machinery Arrangement A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-301-01,,,,,,,
,302,Heading,Propulsion Arrangement,TRUE,,,,,Down,,,,,,,,,SubItems,,,23050.1,89.22%,91.76,0.00,5.58,2114987,42,128608,,,,,,,,
,,Spec Heading,Engine Assembly Starboard Side,TRUE,,Matt,Updated,,Down,,,,,,,,,SubItems,,,8805.0,38.20%,89.52,4.01,6.26,788258,35266,55153,,,,,,,,
,,Spec Item,"Engine, Starboard (MTU 16V2000 M84, Dry Weight)",,,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,7654,1,,,88.75,4.00,6.50,,,,,,,,,,,
,,Spec Item,Engine Fluids - MTU,,,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,630,1,,,88.75,4.00,6.50,,,,,,,,,,,
,,Spec Item,"Engine, Starboard (Cat C32 ACERT, Dry Weight)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,6780,1,6780.0,77.00%,88.75,4.00,6.50,601725,27120,44070,,,,,,,,
,,Spec Item,Engine Fluids - Cat,TRUE,,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,362,1,362.0,4.11%,88.75,4.00,6.50,32128,1448,2353,,,,,,,,
,,Spec Item,"Engine Feet, Starboard",TRUE,,Matt,Updated,New,Sideways,,Engineroom,Isolation Mounts,N/A,Each,,,,Guess,20,2,40.0,0.45%,86.30,4.00,4.75,3452,160,190,,,,,,,,
,,Spec Item,"Elbow & Flex Coupling Assembly, Engine, Starboard",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,50,1,50.0,0.57%,93.25,4.00,8.68,4663,200,434,,,,,,,,
,,Spec Item,"Water In, Engine, Starboard",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,6,1,6.0,0.07%,85.75,2.94,5.92,515,18,36,,,,,,,,
,,Spec Item,"Water Out, Engine Starboard",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,6,1,6.0,0.07%,85.75,4.26,7.33,515,26,44,,,,,,,,
,,Spec Item,"Gearbox, Engine Starboard (ZF 3050A)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,1263,1,1263.0,14.34%,93.25,4.04,5.10,117775,5103,6441,,,,,,,,
,,Spec Item,Gearbox Torsional Coupling,TRUE,,Matt,Updated,,,,,,N/A,,,,,Manufacturer,168,1,168.0,1.91%,92.40,4.00,5.42,15523,672,911,,,,,,,,
,,Spec Item,Gearbox Fluids,TRUE,,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,62,1,62.0,0.70%,93.17,4.00,4.58,5777,248,284,,,,,,,,
,,Spec Item,"Pump, Hydraulic Stabilizer SAE B-B Pad Mount",TRUE,,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Guess,35,1,35.0,0.40%,91.00,4.00,5.75,3185,140,201,,,,,,,,
,,Spec Item,"Pump, Hydraulic Steering SAE B-Pad Mount",TRUE,,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Manufacturer,33,1,33.0,0.37%,91.00,4.00,5.75,3003,132,190,,,,,,,,
,,Spec Heading,"Engine Assembly, Port Side",TRUE,,Matt,Updated,,Down,,,,,,,,,SubItems,,,8805.0,38.20%,89.52,-4.00,6.26,788258,-35223,55153,,,,,,,,
,,Spec Item,"Engine, Port (MTU 16V2000 M84, Dry Weight)",,,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Manufacturer,7654,1,,,88.75,-4.00,6.50,,,,,,,,,,,
,,Spec Item,Engine Fluids - MTU,,,Matt,Updated,,,,,,,,,,,Manufacturer,630,1,,,88.75,-4.00,6.50,,,,,,,,,,,
,,Spec Item,"Engine, Port (Cat C32 Acert, Dry Weight)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Manufacturer,6780,1,6780.0,77.00%,88.75,-4.00,6.50,601725,-27120,44070,,,,,,,,
,,Spec Item,Engine Fluids - Cat,TRUE,,Matt,Updated,,,,,,,,,,,Manufacturer,362,1,362.0,4.11%,88.75,-4.00,6.50,32128,-1448,2353,,,,,,,,
,,Spec Item,"Feet, Engine, Port",TRUE,,Matt,Updated,New,Sideways,,Engineroom,Isolation Mounts,,EA,,,,Guess,20,2,40.0,0.45%,86.30,-4.00,4.75,3452,-160,190,,,,,,,,
,,Spec Item,"Elbow and Flex Coupling Assembly, Engine Port",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Guess,50,1,50.0,0.57%,93.25,-4.00,8.68,4663,-200,434,,,,,,,,
,,Spec Item,"Water In, Engine, Port",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Guess,6,1,6.0,0.07%,85.75,-4.83,5.92,515,-29,36,,,,,,,,
,,Spec Item,"Water Out, Engine, Port",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,E.,,,,Guess,6,1,6.0,0.07%,85.75,-3.74,7.33,515,-22,44,,,,,,,,
,,Spec Item,"Gearbox, Engine, Port (ZF 3050A)",TRUE,,Matt,Updated,New,Down,,Engineroom,,,EA,,,,Manufacturer,1263,1,1263.0,14.34%,93.25,-4.00,5.10,117775,-5052,6441,,,,,,,,
,,Spec Item,Gearbox Torsional Coupling,TRUE,,Matt,Updated,,,,,,,,,,,Manufacturer,168,1,168.0,1.91%,92.40,-4.00,5.42,15523,-672,911,,,,,,,,
,,Spec Item,Gearbox Fluids,TRUE,,Matt,Updated,,,,,,,,,,,Manufacturer,62,1,62.0,0.70%,93.17,-4.00,4.58,5777,-248,284,,,,,,,,
,,Spec Item,"Pump, Hydraulic Stabilizer SAE B-B Pad Mount",TRUE,,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Guess,35,1,35.0,0.40%,91.00,-4.00,5.75,3185,-140,201,,,,,,,,
,,Spec Item,"Pump, Hydraulic Steering SAE B-Pad Mount",TRUE,,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Manufacturer,33,1,33.0,0.37%,91.00,-4.00,5.75,3003,-132,190,,,,,,,,
,,Spec Heading,Drive Line Assembly,TRUE,,Matt,Updated,,,,,,,,,,,SubItems,,,5440.1,23.60%,98.98,0.00,3.36,538470,0,18302,,,,,,,,
,,Spec Item,"Foundation, Starboard Engine",TRUE,,Matt,Updated,New,Sideways,,Engineroom,Foundations,,EA,,,,Solidworks,880,1,880.0,16.18%,90.00,4.00,4.15,79200,3520,3652,,,,,,,,
,,Spec Item,"Foundation, Port Engine",TRUE,,Matt,Updated,New,Sideways,,Engineroom,Foundations,,EA,,,,Solidworks,880,1,880.0,16.18%,90.00,-4.00,4.15,79200,-3520,3652,,,,,,,,
,,Spec Item,"Nut, Driveline Assembly shaft, Starboard",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,1.25,12,15.0,0.28%,94.38,4.00,4.31,1416,60,65,,,,,,,,
,,Spec Item,"Nut, Driveline Assembly shaft, Port",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,1.25,12,15.0,0.28%,94.38,-4.00,4.31,1416,-60,65,,,,,,,,
,,Spec Item,"Plate, Drive Line Assembly, Strut (Port)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37.0,0.68%,104.75,-6.30,4.40,3876,-233,163,,,,,,,,
,,Spec Item,"Plate, Drive Line Assembly, Strut, (Starboard)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37.0,0.68%,104.75,3.43,4.40,3876,127,163,,,,,,,,
,,Spec Item,"Plate, Drive Line Assembly, Strut, (Starboard)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37.0,0.68%,104.75,6.30,4.40,3876,233,163,,,,,,,,
,,Spec Item,"Plate, Drive Line Assembly, Strut, (Port)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37.0,0.68%,104.75,-3.43,4.40,3876,-127,163,,,,,,,,
,,Spec Item,"Zinc, Propeller Nut, 4"" SHAFT (Starboard)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Solidworks,29,1,29.0,0.53%,107.30,4.00,2.05,3112,116,59,,,,,,,,
,,Spec Item,"Zinc, Propeller Nut, 4"" SHAFT (Port)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Solidworks,29,1,29.0,0.53%,107.30,-4.00,2.05,3112,-116,59,,,,,,,,
,,Spec Item,"Rod, Threaded, 1""-8 X 8"" L, SS 316 (Starboard)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,2,1,2.0,0.04%,104.67,4.00,3.97,209,8,8,,,,,,,,
,,Spec Item,"Rod, Threaded, 1""-8 X 8"" L, SS 316 (Port)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,2,1,2.0,0.04%,104.67,-4.00,3.97,209,-8,8,,,,,,,,
,,Spec Item,"Nut, 1""-8"", Bronze (Starboard)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.001,0.5,0.01%,104.67,4.00,3.97,52,2,2,,,,,,,,
,,Spec Item,"Nut, 1""-8"", Bronze (Port)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.001,0.5,0.01%,104.67,-4.00,3.97,52,-2,2,,,,,,,,
,,Spec Item,"Nut, 1""-8"", Jam, Bronze (Starboard)",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.0005,0.3,0.00%,104.67,4.00,3.97,26,1,1,,,,,,,,
,,Spec Item,"Nut, 1""-8"", Jam, Bronze",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.0005,0.3,0.00%,104.67,-4.00,3.97,26,-1,1,,,,,,,,
,,Spec Item,"Cutless Bearing Housing, Bronze, 4"" ID X 5-1/4"" OD (Starboard)",TRUE,,Matt,Updated,New,Down,,Engineroom,Bearings,N/A,EA,,,,Manufacturer,19.3,1,19.3,0.35%,105.27,-4.00,2.39,2032,-77,46,,,,,,,,
,,Spec Item,"Cutless Bearing Housing, Bronze,  4"" ID X 5-1/4"" OD"" OD (Port)",TRUE,,Matt,Updated,New,Down,,Engineroom,Bearings,N/A,EA,,,,Manufacturer,19.3,1,19.3,0.35%,105.27,4.00,2.39,2032,77,46,,,,,,,,
,,Spec Item,"Shaft Seal -4"" Wartsilla (Starboard)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,N/A,EA,,,,Manufacturer,64,1,64.0,1.18%,95.75,4.00,4.07,6128,256,260,,,,,,,,
,,Spec Item,"Shaft Seal -4"" Wartsilla (Port)",TRUE,,Matt,Updated,New,Down,,Engineroom,TBD,N/A,EA,,,,Manufacturer,64,1,64.0,1.18%,95.75,-4.00,4.07,6128,-256,260,,,,,,,,
,,Spec Item,Miscellaneous Hardware,TRUE,,Matt,Updated,New,Sideways,NA,Engineroom,TBD,N/A,EA,,,,Guess,40,1,40.0,0.74%,100.74,0.00,3.18,4030,0,127,,,,,,,,
,,Spec Heading,"Shaft & Flange Assembly, Starboard",TRUE,,Matt,Updated,,,,,,,,,,,SubItems,,,649.0,11.93%,99.91,4.00,3.33,64839,2596,2162,,,,,,,,
,,Spec Item,"Retaining Plate, Gear Flange, 4"" Shaft",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,5,1,5.0,0.77%,94.38,4.00,4.31,472,20,22,,,,,,,,
,,Spec Item,"Propeller Shaft, 4"" X 146-3/8"" L (Flange to beginning of taper)",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Rhino,560,1,560.0,86.29%,100.74,4.00,3.18,56414,2240,1783,,,,,,,,
,,Spec Item,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2.0,0.31%,94.42,4.00,4.30,189,8,9,,,,,,,,
,,Spec Item,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2.0,0.31%,106.70,4.00,2.10,213,8,4,,,,,,,,
,,Spec Item,"Flange, Gearbox, For ZF3060,4"" Shaft",TRUE,,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Guess,80,1,80.0,12.33%,94.38,4.00,4.31,7550,320,345,,,,,,,,
,,Spec Heading,"Shaft and Flange Assembly, Port",TRUE,,Matt,Updated,,,,,,,,,,,SubItems,,,649.0,11.93%,99.91,-4.00,3.33,64839,-2596,2162,,,,,,,,
,,Spec Item,"Retaining Plate, Gear Flange, 4"" Shaft",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,5,1,5.0,0.77%,94.38,-4.00,4.31,472,-20,22,,,,,,,,
,,Spec Item,"Propeller Shaft, 4"" X 146-3/8"" L (Flange to beginning of taper)",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Rhino,560,1,560.0,86.29%,100.74,-4.00,3.18,56414,-2240,1783,,,,,,,,
,,Spec Item,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2.0,0.31%,94.42,-4.00,4.30,189,-8,9,,,,,,,,
,,Spec Item,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2.0,0.31%,106.70,-4.00,2.10,213,-8,4,,,,,,,,
,,Spec Item,"Flange, Gearbox, For ZF3060,4"" Shaft",TRUE,,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Guess,80,1,80.0,12.33%,94.38,-4.00,4.31,7550,-320,345,,,,,,,,
,302-10,Spec Heading,Propulsion Shaft Struts,TRUE,,Matt,Updated,,,,,,,,,,,SubItems,,,864.0,15.88%,105.06,0.00,3.15,90772,0,2722,,,,,,,,
,,Spec Item,"Strut, 3500 Configuration, Starboard, Nibral, Cast",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,EA,,,,Rhino,432,1,432.0,50.00%,105.06,3.80,3.15,45386,1642,1361,,,,,,,,
,,Spec Item,"Strut, 3500 Configuration, Port, Nibral, Cast",TRUE,,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,EA,,,,Rhino,432,1,432.0,50.00%,105.06,-3.80,3.15,45386,-1642,1361,,,,,,,,
,302-11,Spec Heading,Propellers,TRUE,,Matt,Updated,,,,,,,,,,,SubItems,,,1070.0,19.67%,106.67,0.00,2.14,114139,0,2290,,,,,,,,
,,Spec Item,"Propeller Port: LH 50"" x 50"" x 5-blade 1.05 DAR",TRUE,,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Manufacturer Est.,535,1,535.0,50.00%,106.67,-4.00,2.14,57070,-2140,1145,,,,,,,,
,,Spec Item,"Propeller Stbd: RH 50"" x 50"" x 5-blade 1.05 DAR",TRUE,,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Manufacturer Est.,535,1,535.0,50.00%,106.67,4.00,2.14,57070,2140,1145,,,,,,,,
,,Design Heading,Propulsion System Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-00,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Strut Arms,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-01,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Strut Barrel,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-02,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Stern Tube,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-03,,,,,,,
,,Drawings / Deliverables,Propulsion System Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-04,,,,,,,
,,Drawings / Deliverables,Propulsion System A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-05,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Companion Flange Machining,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-06,,,,,,,
,,Drawings / Deliverables,Propulsion Mount Base Plates,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-07,,,,,,,
,,Drawings / Deliverables,Engine Reduction Gears Mount Brackets,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-08,,,,,,,
,,Drawings / Deliverables,Propulsion Shafts,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-09,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Keys,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-10,,,,,,,
,,Drawings / Deliverables,Propulsion Shaft Companion Flange Draw Plate,,,,,,,,,,,,,,,,,,,,,,,,,,4383-302-11,,,,,,,
,303,Heading,Propulsion Exhaust,TRUE,,,,,Sideways,,,,,,,,,SubItems,,,703.6,2.72%,97.33,0.27,8.12,68479,190,5712,,,,,,,,
,303-00,Spec Heading,Main Engine Exhaust Assemblies,TRUE,,,Updated,,,103290-01,,,,,,,,SubItems,,,703.6,100.00%,97.33,0.27,8.12,68479,190,5712,,,,,,,,
,,Spec Item,"Riser, Starboard",TRUE,,Matt,Updated,New,Sideways,103290.02-01,Engineroom,Exhaust,N/A,LF,,,,Calc,6.5,9.5,61.8,8.78%,94.70,6.19,11.46,5848,382,708,,,,,,,,
,,Spec Item,"Riser, Port",TRUE,,Matt,Updated,New,Sideways,103290.03-01,Engineroom,Exhaust,N/A,EA,,,,Calc,6.5,9.5,61.8,8.78%,94.70,-6.19,11.46,5848,-382,708,,,,,,,,
,,Spec Item,"14"" X 16"" Mixer Yank, Flanged",TRUE,,Matt,Updated,New,Sideways,103290.04-01,Engineroom,Tanks,N/A,EA,,,,Guess,20,2,40.0,5.69%,95.15,0.00,9.95,3806,0,398,,,,,,,,
,,Spec Item,"Mount, Main Engine Exhaust, Penetration",TRUE,,Matt,Updated,New,Sideways,103290.001-01,Engineroom,Exhaust,N/A,EA,,,,Guess,8,2,16.0,2.27%,97.72,0.00,7.97,1564,0,128,,,,,,,,
,,Spec Item,"Pipe, Main Engine, Port Exhaust",TRUE,,Matt,Updated,New,Sideways,103290.002-01,Engineroom,Exhaust,N/A,EA,,,,Calc,3,17.5,52.5,7.46%,105.73,10.75,7.75,5551,564,407,,,,,,,,
,,Spec Item,"Pipe, Main Engine, Starboard Exhaust",TRUE,,Matt,Updated,New,Sideways,103290.003-01,Engineroom,Exhaust,N/A,EA,,,,Calc,3,17.5,52.5,7.46%,105.73,-10.75,7.76,5551,-564,407,,,,,,,,
,,Spec Item,"Exhaust Hose, Blue Silicone Double Hump 16"" X 14"" L",TRUE,,Matt,Updated,New,Sideways,102224-01,Engineroom,Exhaust,N/A,EA,,,,Calc,9.5,2,19.0,2.70%,95.20,0.00,9.22,1809,0,175,,,,,,,,
,,Spec Item,"Muffler, Bottomless, 16"" Inlet X 18"" Outlet, Port",TRUE,,Matt,Updated,New,Sideways,103378-01,Engineroom,Exhaust,N/A,EA,,,,Guess,150,1,150.0,21.32%,95.25,-9.70,7.41,14288,-1455,1112,,,,,,,,
,,Spec Item,"Muffler, Bottomless, 16"" Inlet X 18"" Outlet, Starboard",TRUE,,Matt,Updated,New,Sideways,103379-01,Engineroom,Exhaust,N/A,EA,,,,Guess,150,1,150.0,21.32%,95.25,9.70,7.41,14288,1455,1112,,,,,,,,
,,Spec Item,"Elbow Fiberglass, 18"" Diameter",TRUE,,Matt,Updated,New,Sideways,103378.001-01,Engineroom,Exhaust,N/A,EA,,,,Guess,5,2,10.0,1.42%,95.18,0.00,5.17,952,0,52,,,,,,,,"18"""
,,Spec Item,"Elbow, Fiberglass, 8""-45 Degree",TRUE,,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,3,4,12.0,1.71%,99.08,0.00,7.92,1189,0,95,,,,,,,,"8"""
,,Spec Item,"Elbow, Fiberglass, 8""-60 Degree",TRUE,,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,4,2,8.0,1.14%,114.77,0.00,7.04,918,0,56,,,,,,,,"8"""
,,Spec Item,"Elbow, Fiberglass, 8""-23 Degree",TRUE,,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,2,2,4.0,0.57%,113.19,0.00,7.68,453,0,31,,,,,,,,"8"""
TRUE,,Spec Item,"Miscellaneous Fittings, Gaskets, Hardware etc.",TRUE,,Matt,Updated,New,Sideways,NA,Engineroom,Exhaust,N/A,EA,,,,Calc,20,1,20.0,2.84%,96.42,9.50,7.50,1928,190,150,,,,,,,,
,,Spec Item,Exhaust Shrouds (Starboard),TRUE,,Matt,Updated,New,Sideways,140.157-40,Hull Exterior,Exhaust,N/A,SF,,,,Guess,2,11.52,23.0,3.27%,97.41,-10.21,3.79,2244,-235,87,,,,,,,,
,,Spec Item,Exhaust Shrouds (Port),TRUE,,Matt,Updated,New,Sideways,140.157-40,Hull Exterior,Exhaust,N/A,Each,,,,Guess,2,11.52,23.0,3.27%,97.41,10.21,3.79,2244,235,87,,,,,,,,
,303-00,Design Heading,Propulsion Exhaust Drawings and Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3D models,Propulsion Exhaust System 3D modelling,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-303-01,,,,,,,
,,Drawings / Deliverables,Propulsion Exhaust System A&D,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-303-02,,,,,,,
,,Drawings / Deliverables,Propulsion Exhaust System Foundations,,,Matt,,,,,,,,,,,,,,,,,,,,,,,4383-303-03,,,,,,,
,304,Heading,Generator Exhaust,TRUE,,,,,Down,,,,,,,,,SubItems,,,146.5,0.57%,96.28,0.00,7.68,14105,0,1126,,,,,,,,
,304-00,Spec Heading,Generator Exhaust Assemblies,TRUE,,Matt,Updated,,Down,103291-01,,,,,,,,SubItems,,,146.5,100.00%,96.28,0.00,7.68,14105,0,1126,,,,,,,,
,,Spec Item,"Pipe, Generator Exhaust, Starboard",TRUE,,Matt,Updated,New,Down,103291.001-01,Engineroom,Piping,N/A,LF,,,,Calc,0.9,21.5,19.4,13.21%,103.18,10.52,8.58,1997,204,166,,,,,,,,
,,Spec Item,"Pipe, Generator Exhaust, Port",TRUE,,Matt,Updated,New,Down,103291.002-01,Engineroom,Piping,N/A,LF,,,,Calc,0.9,21.5,19.4,13.21%,103.18,-10.52,8.58,1997,-204,166,,,,,,,,
,,Spec Item,"Pipe, Generators Exhaust, Port, Water",TRUE,,Matt,Updated,New,Down,103291.003-01,Engineroom,Piping,N/A,EA,,,,Calc,0.9,2,1.8,1.23%,92.48,0.00,7.30,166,0,13,,,,,,,,
,,Spec Item,"Combo-Sep, 4"" Inlet, 3"" Gas out & 2.5"" Water outlet, Vertical",TRUE,,Matt,Updated,New,Down,103399-01,Engineroom,Silencers,N/A,EA,,,,Guess,30,2,60.0,40.96%,92.70,0.00,6.81,5562,0,409,,,,,,,,
,,Spec Item,"Fitting, Silicone with Clamp 90 Degree, 4""",TRUE,,Matt,Updated,New,Down,28741,Engineroom,,N/A,EA,,,,Guess,4,2,8.0,5.46%,92.70,0.00,6.41,742,0,51,,,,,,,,
,,Spec Item,"3"" Fiberglass Elbow,90 Degree",TRUE,,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,3,2,6.0,4.10%,92.70,0.00,8.69,556,0,52,,,,,,,,"3"""
,,Spec Item,"3"" Fiberglass Elbow,45 Degree",TRUE,,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,2,6,12.0,8.19%,99.76,0.00,8.66,1197,0,104,,,,,,,,"3"""
,,Spec Item,"4"" Fiberglass Elbow, 90 Degree",TRUE,,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,4,2,8.0,5.46%,92.58,0.00,7.69,741,0,62,,,,,,,,"4"""
,,Spec Item,"2"" Bellow with Clamp, 1 Hump",TRUE,,Matt,Updated,New,Down,225878,Engineroom,Bellows,N/A,EA,,,,Guess,2,6,12.0,8.19%,95.66,0.00,8.58,1148,0,103,,,,,,,,"3"""
